repo	side	path	qualified_name	kind	leading_line
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	DiagnosticCode	Container	23
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	DiagnosticCode::as_str	Function	31
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	Wire	Container	951
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	as_str	Function	272
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	deserialize	Function	284
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	deserialize	Function	428
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	deserialize	Function	947
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	fmt	Function	278
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	get	Function	422
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	new	Function	259
quire-contract-ir	old_only	crates/quire-contract-model/src/identity.rs	new	Function	414
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	MappingRequestErrorCode	Container	149
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	MappingRequestErrorCode::as_str	Function	159
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	MappingRequestErrorCode::from_code	Function	166
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	as_bytes	Function	52
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	code	Function	909
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	contract	Function	894
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	digest	Function	47
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	digest	Function	641
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	digest	Function	904
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	fmt	Function	79
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	from_bytes	Function	42
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	identity	Function	631
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	new	Function	609
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	new	Function	878
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	owner	Function	889
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	parse	Function	57
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	revision	Function	636
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	revision	Function	899
quire-contract-ir	old_only	crates/quire-contract-model/src/output_mapping.rs	serialize	Function	85
quire-contract-ir	old_only	src/temporal/request.rs	artifact_authority	Function	615
quire-contract-ir	old_only	src/temporal/request.rs	artifact_bytes	Function	616
quire-contract-ir	old_only	src/temporal/request.rs	artifact_identity	Function	614
quire-contract-ir	new_only	crates/quire-contract-model/src/checked_package/v2/mod.rs	CheckedPackageV2::admit_value	Function	642
quire-contract-ir	new_only	crates/quire-contract-model/src/identity.rs	Clause::Wire	Container	951
quire-contract-ir	new_only	crates/quire-contract-model/src/identity.rs	Clause::deserialize	Function	947
quire-protocol	old_only	src/claims/mod.rs	code	Function	374
quire-protocol	old_only	src/claims/mod.rs	establishes	Function	384
quire-protocol	old_only	src/claims/mod.rs	index	Function	364
quire-protocol	old_only	src/claims/mod.rs	refusal	Function	394
quire-protocol	old_only	src/closure.rs	of	Function	172
quire-protocol	old_only	src/closure.rs	refusal	Function	180
quire-protocol	old_only	src/closure.rs	state	Function	176
quire-protocol	old_only	src/ids.rs	IdentityKind	Container	275
quire-protocol	old_only	src/ids.rs	cmp	Function	376
quire-protocol	old_only	src/ids.rs	display_text	Function	347
quire-protocol	old_only	src/ids.rs	eq	Function	362
quire-protocol	old_only	src/ids.rs	fmt	Function	390
quire-protocol	old_only	src/ids.rs	fmt	Function	396
quire-protocol	old_only	src/ids.rs	hash	Function	382
quire-protocol	old_only	src/ids.rs	identity_bytes	Function	342
quire-protocol	old_only	src/ids.rs	kind	Function	352
quire-protocol	old_only	src/ids.rs	new	Function	311
quire-protocol	old_only	src/ids.rs	new_bounded	Function	321
quire-protocol	old_only	src/ids.rs	partial_cmp	Function	370
quire-protocol	old_only	src/producer_contracts.rs	ProducerContract	Container	304
quire-protocol	old_only	src/producer_contracts.rs	ProducerContract::contract_version	Function	327
quire-protocol	old_only	src/producer_contracts.rs	ProducerContract::expected_revision	Function	335
quire-protocol	old_only	src/producer_contracts.rs	ProducerContract::owner	Function	319
quire-protocol	old_only	src/producer_contracts.rs	ProducerContract::owner_schema	Function	343
quire-protocol	old_only	src/repro.rs	bytes	Function	238
quire-protocol	old_only	src/repro.rs	cmp	Function	275
quire-protocol	old_only	src/repro.rs	display_text	Function	244
quire-protocol	old_only	src/repro.rs	eq	Function	261
quire-protocol	old_only	src/repro.rs	fmt	Function	287
quire-protocol	old_only	src/repro.rs	hash	Function	281
quire-protocol	old_only	src/repro.rs	is_empty	Function	250
quire-protocol	old_only	src/repro.rs	new	Function	189
quire-protocol	old_only	src/repro.rs	new_bounded	Function	201
quire-protocol	old_only	src/repro.rs	partial_cmp	Function	269
quire-protocol	old_kind_changed	src/assessment.rs	tests::tc_011_assessment_bundle_refusals_are_typed_and_distinct	Function	3666
quire-protocol	new_kind_changed	src/assessment.rs	tests::tc_011_assessment_bundle_refusals_are_typed_and_distinct	TestFunction	3654
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_006_engine_constructs_and_strict_reads_canonical_rows	Function	1030
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_006_engine_constructs_and_strict_reads_canonical_rows	TestFunction	1010
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_015_correction_is_direct_and_preserves_predecessor_bytes	Function	3430
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_015_correction_is_direct_and_preserves_predecessor_bytes	TestFunction	3421
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_015_every_result_combination_maps_without_boolean_coercion	Function	2001
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_015_every_result_combination_maps_without_boolean_coercion	TestFunction	1989
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_015_four_axes_and_fr_295_completeness_are_independent	Function	2317
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_015_four_axes_and_fr_295_completeness_are_independent	TestFunction	2307
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_015_strict_mutations_lineage_and_limits_fail_closed	Function	2392
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_015_strict_mutations_lineage_and_limits_fail_closed	TestFunction	2380
quire-protocol	old_kind_changed	src/result/tc_006_tests.rs	tc_015_validated_and_mapped_views_expose_every_contract_axis_without_json_parsing	Function	2185
quire-protocol	new_kind_changed	src/result/tc_006_tests.rs	tc_015_validated_and_mapped_views_expose_every_contract_axis_without_json_parsing	TestFunction	2175
quire-protocol	old_kind_changed	src/version_lock/tests.rs	tc_013_manifest_order_changes_neither_first_cause_nor_partial_state	Function	291
quire-protocol	new_kind_changed	src/version_lock/tests.rs	tc_013_manifest_order_changes_neither_first_cause_nor_partial_state	TestFunction	282
quire-protocol	old_kind_changed	src/version_lock/tests.rs	tc_013_only_the_exact_delivered_bytes_are_verified_and_released	Function	576
quire-protocol	new_kind_changed	src/version_lock/tests.rs	tc_013_only_the_exact_delivered_bytes_are_verified_and_released	TestFunction	567
quire-protocol	old_kind_changed	tests/it002_observation_temporal.rs	it_002_sc_05_batch_and_incremental_agree_with_early_settlement	Function	570
quire-protocol	new_kind_changed	tests/it002_observation_temporal.rs	it_002_sc_05_batch_and_incremental_agree_with_early_settlement	TestFunction	559
quire-protocol	old_kind_changed	tests/it002_producer_contracts.rs	it_002_sc_08_resolves_only_the_exact_scenario_contract_inventory	Function	120
quire-protocol	new_kind_changed	tests/it002_producer_contracts.rs	it_002_sc_08_resolves_only_the_exact_scenario_contract_inventory	TestFunction	110
quire-protocol	old_kind_changed	tests/tc_002_binding_model.rs	tc_002_linked_assessment_borrows_one_admitted_v2_protocol_context	Function	1516
quire-protocol	new_kind_changed	tests/tc_002_binding_model.rs	tc_002_linked_assessment_borrows_one_admitted_v2_protocol_context	TestFunction	1489
quire-protocol	old_kind_changed	tests/tc_006_digest_domains.rs	tc_006_jcs_is_member_order_invariant_and_refuses_numbers	Function	400
quire-protocol	new_kind_changed	tests/tc_006_digest_domains.rs	tc_006_jcs_is_member_order_invariant_and_refuses_numbers	TestFunction	387
